Emotions,Path,actor,Gender,Source
neutral,E:\datasets\ravdess\Actor_01\03-01-01-01-01-01-01.wav,1,male,ravdess
neutral,E:\datasets\ravdess\Actor_01\03-01-01-01-01-02-01.wav,1,male,ravdess
neutral,E:\datasets\ravdess\Actor_01\03-01-01-01-02-01-01.wav,1,male,ravdess
neutral,E:\datasets\ravdess\Actor_01\03-01-01-01-02-02-01.wav,1,male,ravdess
calm,E:\datasets\ravdess\Actor_01\03-01-02-01-01-01-01.wav,1,male,ravdess
calm,E:\datasets\ravdess\Actor_01\03-01-02-01-01-02-01.wav,1,male,ravdess
calm,E:\datasets\ravdess\Actor_01\03-01-02-01-02-01-01.wav,1,male,ravdess
calm,E:\datasets\ravdess\Actor_01\03-01-02-01-02-02-01.wav,1,male,ravdess
calm,E:\datasets\ravdess\Actor_01\03-01-02-02-01-01-01.wav,1,male,ravdess
calm,E:\datasets\ravdess\Actor_01\03-01-02-02-01-02-01.wav,1,male,ravdess
calm,E:\datasets\ravdess\Actor_01\03-01-02-02-02-01-01.wav,1,male,ravdess
calm,E:\datasets\ravdess\Actor_01\03-01-02-02-02-02-01.wav,1,male,ravdess
happy,E:\datasets\ravdess\Actor_01\03-01-03-01-01-01-01.wav,1,male,ravdess
happy,E:\datasets\ravdess\Actor_01\03-01-03-01-01-02-01.wav,1,male,ravdess
happy,E:\datasets\ravdess\Actor_01\03-01-03-01-02-01-01.wav,1,male,ravdess
happy,E:\datasets\ravdess\Actor_01\03-01-03-01-02-02-01.wav,1,male,ravdess
happy,E:\datasets\ravdess\Actor_01\03-01-03-02-01-01-01.wav,1,male,ravdess
happy,E:\datasets\ravdess\Actor_01\03-01-03-02-01-02-01.wav,1,male,ravdess
happy,E:\datasets\ravdess\Actor_01\03-01-03-02-02-01-01.wav,1,male,ravdess
happy,E:\datasets\ravdess\Actor_01\03-01-03-02-02-02-01.wav,1,male,ravdess
sad,E:\datasets\ravdess\Actor_01\03-01-04-01-01-01-01.wav,1,male,ravdess
sad,E:\datasets\ravdess\Actor_01\03-01-04-01-01-02-01.wav,1,male,ravdess
sad,E:\datasets\ravdess\Actor_01\03-01-04-01-02-01-01.wav,1,male,ravdess
sad,E:\datasets\ravdess\Actor_01\03-01-04-01-02-02-01.wav,1,male,ravdess
sad,E:\datasets\ravdess\Actor_01\03-01-04-02-01-01-01.wav,1,male,ravdess
sad,E:\datasets\ravdess\Actor_01\03-01-04-02-01-02-01.wav,1,male,ravdess
sad,E:\datasets\ravdess\Actor_01\03-01-04-02-02-01-01.wav,1,male,ravdess
sad,E:\datasets\ravdess\Actor_01\03-01-04-02-02-02-01.wav,1,male,ravdess
angry,E:\datasets\ravdess\Actor_01\03-01-05-01-01-01-01.wav,1,male,ravdess
angry,E:\datasets\ravdess\Actor_01\03-01-05-01-01-02-01.wav,1,male,ravdess
angry,E:\datasets\ravdess\Actor_01\03-01-05-01-02-01-01.wav,1,male,ravdess
angry,E:\datasets\ravdess\Actor_01\03-01-05-01-02-02-01.wav,1,male,ravdess
angry,E:\datasets\ravdess\Actor_01\03-01-05-02-01-01-01.wav,1,male,ravdess
angry,E:\datasets\ravdess\Actor_01\03-01-05-02-01-02-01.wav,1,male,ravdess
angry,E:\datasets\ravdess\Actor_01\03-01-05-02-02-01-01.wav,1,male,ravdess
angry,E:\datasets\ravdess\Actor_01\03-01-05-02-02-02-01.wav,1,male,ravdess
fear,E:\datasets\ravdess\Actor_01\03-01-06-01-01-01-01.wav,1,male,ravdess
fear,E:\datasets\ravdess\Actor_01\03-01-06-01-01-02-01.wav,1,male,ravdess
fear,E:\datasets\ravdess\Actor_01\03-01-06-01-02-01-01.wav,1,male,ravdess
fear,E:\datasets\ravdess\Actor_01\03-01-06-01-02-02-01.wav,1,male,ravdess
fear,E:\datasets\ravdess\Actor_01\03-01-06-02-01-01-01.wav,1,male,ravdess
fear,E:\datasets\ravdess\Actor_01\03-01-06-02-01-02-01.wav,1,male,ravdess
fear,E:\datasets\ravdess\Actor_01\03-01-06-02-02-01-01.wav,1,male,ravdess
fear,E:\datasets\ravdess\Actor_01\03-01-06-02-02-02-01.wav,1,male,ravdess
disgust,E:\datasets\ravdess\Actor_01\03-01-07-01-01-01-01.wav,1,male,ravdess
disgust,E:\datasets\ravdess\Actor_01\03-01-07-01-01-02-01.wav,1,male,ravdess
disgust,E:\datasets\ravdess\Actor_01\03-01-07-01-02-01-01.wav,1,male,ravdess
disgust,E:\datasets\ravdess\Actor_01\03-01-07-01-02-02-01.wav,1,male,ravdess
disgust,E:\datasets\ravdess\Actor_01\03-01-07-02-01-01-01.wav,1,male,ravdess
disgust,E:\datasets\ravdess\Actor_01\03-01-07-02-01-02-01.wav,1,male,ravdess
disgust,E:\datasets\ravdess\Actor_01\03-01-07-02-02-01-01.wav,1,male,ravdess
disgust,E:\datasets\ravdess\Actor_01\03-01-07-02-02-02-01.wav,1,male,ravdess
surprise,E:\datasets\ravdess\Actor_01\03-01-08-01-01-01-01.wav,1,male,ravdess
surprise,E:\datasets\ravdess\Actor_01\03-01-08-01-01-02-01.wav,1,male,ravdess
surprise,E:\datasets\ravdess\Actor_01\03-01-08-01-02-01-01.wav,1,male,ravdess
surprise,E:\datasets\ravdess\Actor_01\03-01-08-01-02-02-01.wav,1,male,ravdess
surprise,E:\datasets\ravdess\Actor_01\03-01-08-02-01-01-01.wav,1,male,ravdess
surprise,E:\datasets\ravdess\Actor_01\03-01-08-02-01-02-01.wav,1,male,ravdess
surprise,E:\datasets\ravdess\Actor_01\03-01-08-02-02-01-01.wav,1,male,ravdess
surprise,E:\datasets\ravdess\Actor_01\03-01-08-02-02-02-01.wav,1,male,ravdess
neutral,E:\datasets\ravdess\Actor_02\03-01-01-01-01-01-02.wav,2,female,ravdess
neutral,E:\datasets\ravdess\Actor_02\03-01-01-01-01-02-02.wav,2,female,ravdess
neutral,E:\datasets\ravdess\Actor_02\03-01-01-01-02-01-02.wav,2,female,ravdess
neutral,E:\datasets\ravdess\Actor_02\03-01-01-01-02-02-02.wav,2,female,ravdess
calm,E:\datasets\ravdess\Actor_02\03-01-02-01-01-01-02.wav,2,female,ravdess
calm,E:\datasets\ravdess\Actor_02\03-01-02-01-01-02-02.wav,2,female,ravdess
calm,E:\datasets\ravdess\Actor_02\03-01-02-01-02-01-02.wav,2,female,ravdess
calm,E:\datasets\ravdess\Actor_02\03-01-02-01-02-02-02.wav,2,female,ravdess
calm,E:\datasets\ravdess\Actor_02\03-01-02-02-01-01-02.wav,2,female,ravdess
calm,E:\datasets\ravdess\Actor_02\03-01-02-02-01-02-02.wav,2,female,ravdess
calm,E:\datasets\ravdess\Actor_02\03-01-02-02-02-01-02.wav,2,female,ravdess
calm,E:\datasets\ravdess\Actor_02\03-01-02-02-02-02-02.wav,2,female,ravdess
happy,E:\datasets\ravdess\Actor_02\03-01-03-01-01-01-02.wav,2,female,ravdess
happy,E:\datasets\ravdess\Actor_02\03-01-03-01-01-02-02.wav,2,female,ravdess
happy,E:\datasets\ravdess\Actor_02\03-01-03-01-02-01-02.wav,2,female,ravdess
happy,E:\datasets\ravdess\Actor_02\03-01-03-01-02-02-02.wav,2,female,ravdess
happy,E:\datasets\ravdess\Actor_02\03-01-03-02-01-01-02.wav,2,female,ravdess
happy,E:\datasets\ravdess\Actor_02\03-01-03-02-01-02-02.wav,2,female,ravdess
happy,E:\datasets\ravdess\Actor_02\03-01-03-02-02-01-02.wav,2,female,ravdess
happy,E:\datasets\ravdess\Actor_02\03-01-03-02-02-02-02.wav,2,female,ravdess
sad,E:\datasets\ravdess\Actor_02\03-01-04-01-01-01-02.wav,2,female,ravdess
sad,E:\datasets\ravdess\Actor_02\03-01-04-01-01-02-02.wav,2,female,ravdess
sad,E:\datasets\ravdess\Actor_02\03-01-04-01-02-01-02.wav,2,female,ravdess
sad,E:\datasets\ravdess\Actor_02\03-01-04-01-02-02-02.wav,2,female,ravdess
sad,E:\datasets\ravdess\Actor_02\03-01-04-02-01-01-02.wav,2,female,ravdess
sad,E:\datasets\ravdess\Actor_02\03-01-04-02-01-02-02.wav,2,female,ravdess
sad,E:\datasets\ravdess\Actor_02\03-01-04-02-02-01-02.wav,2,female,ravdess
sad,E:\datasets\ravdess\Actor_02\03-01-04-02-02-02-02.wav,2,female,ravdess
angry,E:\datasets\ravdess\Actor_02\03-01-05-01-01-01-02.wav,2,female,ravdess
angry,E:\datasets\ravdess\Actor_02\03-01-05-01-01-02-02.wav,2,female,ravdess
angry,E:\datasets\ravdess\Actor_02\03-01-05-01-02-01-02.wav,2,female,ravdess
angry,E:\datasets\ravdess\Actor_02\03-01-05-01-02-02-02.wav,2,female,ravdess
angry,E:\datasets\ravdess\Actor_02\03-01-05-02-01-01-02.wav,2,female,ravdess
angry,E:\datasets\ravdess\Actor_02\03-01-05-02-01-02-02.wav,2,female,ravdess
